date,open,high,low,close,volume,Index
2017-04-21,36.925,36.9526,36.7224,36.7685,1405391,HSBC
2017-04-24,37.5878,37.6891,37.5234,37.5878,2764231,HSBC
2017-04-25,37.9284,38.1033,37.8824,37.9652,2075488,HSBC
2017-04-26,37.9652,38.1217,37.9008,37.91,1759361,HSBC
2017-04-27,38.2046,38.2052,37.9744,38.1402,1520628,HSBC
2017-04-28,37.9744,38.0987,37.8824,37.9008,1864205,HSBC
2017-05-01,37.9744,38.1171,37.9376,38.0021,1027946,HSBC
2017-05-02,38.1125,38.1678,38.0021,38.1217,3087504,HSBC
2017-05-03,38.1217,38.4071,38.0849,38.3151,1751726,HSBC
2017-05-04,39.6131,39.6223,39.2265,39.4014,4575401,HSBC
2017-05-05,39.2909,39.3185,39.139,39.2909,1682490,HSBC
2017-05-08,39.4658,39.4658,39.2265,39.3001,1478120,HSBC
2017-05-09,39.6683,39.7236,39.4566,39.5026,2309492,HSBC
2017-05-10,40.0274,40.0458,39.8893,39.9813,2127203,HSBC
2017-05-11,40.1286,40.1713,40.0182,40.1102,2781886,HSBC
2017-05-12,40.2115,40.2759,40.1194,40.2575,1615493,HSBC
2017-05-15,40.5061,40.7454,40.4969,40.7178,1883335,HSBC
2017-05-16,40.8559,40.9111,40.8099,40.8835,1803302,HSBC
2017-05-17,40.539,40.539,40.0744,40.1294,2556006,HSBC
2017-05-18,40.0735,40.3063,40.0269,40.148,1963114,HSBC
2017-05-19,40.2132,40.4506,40.2038,40.3621,1857552,HSBC
2017-05-22,40.4552,40.5018,40.3342,40.4087,1622859,HSBC
2017-05-23,40.539,40.5902,40.3388,40.4459,1536291,HSBC
2017-05-24,40.3994,40.4645,40.1619,40.2876,1350230,HSBC
2017-05-25,40.4645,40.4739,40.3156,40.3901,1337384,HSBC
2017-05-26,40.3156,40.3528,40.148,40.1759,1442857,HSBC
2017-05-30,40.5111,40.5437,40.3714,40.418,1244513,HSBC
2017-05-31,40.9208,40.9673,40.4273,40.4925,2077165,HSBC
2017-06-01,40.7159,40.7997,40.539,40.7904,1440016,HSBC
2017-06-02,40.7904,40.837,40.6508,40.7718,1055841,HSBC
2017-06-05,40.9673,41.0289,40.8835,40.8835,952562,HSBC
2017-06-06,41.1349,41.2439,41.107,41.2094,1466441,HSBC
2017-06-07,41.1442,41.2373,41.0139,41.2187,1285634,HSBC
2017-06-08,41.1722,41.3025,41.1349,41.2187,1286537,HSBC
2017-06-09,41.2094,41.3211,40.972,41.1629,2017575,HSBC
2017-06-12,40.8184,40.9161,40.6228,40.7532,1323473,HSBC
2017-06-13,40.809,40.8835,40.6547,40.837,1145321,HSBC
2017-06-14,40.7811,40.7811,40.5344,40.6694,1414103,HSBC
2017-06-15,40.6973,40.8835,40.6601,40.7904,1510514,HSBC
2017-06-16,40.837,41.0046,40.7532,40.9673,1551204,HSBC
2017-06-19,41.0511,41.1722,40.9969,41.1349,1172406,HSBC
2017-06-20,40.688,40.7299,40.4087,40.5018,1492492,HSBC
2017-06-21,40.5577,40.6136,40.432,40.4739,1368214,HSBC
2017-06-22,40.3435,40.3718,40.2597,40.3249,1214928,HSBC
2017-06-23,40.4832,40.4925,40.3063,40.3714,1158129,HSBC
2017-06-26,40.9953,41.1125,40.8649,40.8835,1571554,HSBC
2017-06-27,40.9208,41.1629,40.8463,41.0697,1716585,HSBC
2017-06-28,41.1908,41.6005,41.1722,41.5725,2781546,HSBC
2017-06-29,43.4905,43.5836,43.174,43.3229,5372797,HSBC
2017-06-30,43.2205,43.2857,42.9598,43.1926,1751117,HSBC
2017-07-03,43.6954,44.0119,43.6442,43.984,1371470,HSBC
2017-07-05,43.6395,43.9095,43.5557,43.9002,1624961,HSBC
2017-07-06,43.7978,44.0725,43.7652,43.7699,1427179,HSBC
2017-07-07,43.6488,43.7699,43.5278,43.714,1381359,HSBC
2017-07-10,44.2447,44.4124,44.1982,44.3658,1573483,HSBC
2017-07-11,44.4682,44.5985,44.3751,44.5985,2066905,HSBC
2017-07-12,44.673,44.8778,44.6078,44.8592,1406344,HSBC
2017-07-13,44.7382,45.0547,44.7289,45.0268,1156684,HSBC
